Timestamp,Target,Latency_ms,Packet_Loss_Percent
2026-08-27 17:16:43,192.168.1.1,167.0,0.0
2026-08-27 17:16:46,192.168.1.1,5.0,0.0
2026-08-27 17:16:48,192.168.1.1,4.0,0.0
2026-08-27 17:16:50,192.168.1.1,5.0,0.0
2026-08-27 17:16:52,192.168.1.1,3.0,0.0
2026-08-27 17:16:54,192.168.1.1,4.0,0.0
2026-08-27 17:16:56,192.168.1.1,15.0,0.0
2026-08-27 17:16:58,192.168.1.1,3.0,0.0
2026-08-27 17:17:00,192.168.1.1,2.0,0.0
2026-08-27 17:17:02,192.168.1.1,4.0,0.0
2026-08-30 17:03:29,192.168.1.1,1.0,0.0
2026-08-30 17:03:31,192.168.1.1,1.0,0.0
2026-08-30 17:03:33,192.168.1.1,1.0,0.0
2026-08-30 17:03:35,192.168.1.1,1.0,0.0
2026-08-30 17:03:37,192.168.1.1,1.0,0.0
2026-08-30 17:03:39,192.168.1.1,1.0,0.0
2026-08-30 17:03:41,192.168.1.1,1.0,0.0
2026-08-30 17:03:43,192.168.1.1,1.0,0.0
2026-08-30 17:03:46,192.168.1.1,1.0,0.0
2026-08-30 17:03:48,192.168.1.1,1.0,0.0
